datetime,hr,surge_ft,tide_ft,total_wl,discharge
2019-01-02 04:00:00,-100,1.0189658222,0.08499999999999981,1.1039658221999997,4555.0
2019-01-02 05:00:00,-99,1.034684273,0.1202081528017131,1.1548924258017133,4522.5
2019-01-02 06:00:00,-98,1.1064646465999999,0.14722431864335472,1.2536889652433545,4497.5
2019-01-02 07:00:00,-97,1.0769023580000001,0.16420739046914176,1.2411097484691418,4475.0
2019-01-02 08:00:00,-96,1.0756902354,0.17,1.2456902354,4455.0
2019-01-02 09:00:00,-95,1.0560269372,0.16420739046914165,1.2202343276691416,4437.5
2019-01-02 10:00:00,-94,1.0595286198,0.14722431864335456,1.2067529384433546,4422.5
2019-01-02 11:00:00,-93,1.0122558929999999,0.12020815280171288,1.1324640458017128,4415.0
2019-01-02 12:00:00,-92,1.051178452,0.08499999999999952,1.1361784519999996,4395.0
2019-01-02 13:00:00,-91,1.038316499,0.04399923766742833,1.0823157366674283,4380.0
2019-01-02 14:00:00,-90,1.0475420868,1.4583819580675506e-16,1.0475420868000003,4365.0
2019-01-02 15:00:00,-89,1.0368350164000002,-0.04399923766742863,0.9928357787325716,4345.0
2019-01-02 16:00:00,-88,1.0752861954000001,-0.08500000000000031,0.9902861953999998,4322.5
2019-01-02 17:00:00,-87,1.0663299676,-0.12020815280171351,0.9461218147982865,4310.0
2019-01-02 18:00:00,-86,1.0857912458,-0.1472243186433547,0.9385669271566454,4282.5
2019-01-02 19:00:00,-85,1.1372390578,-0.1642073904691416,0.9730316673308584,4255.0
2019-01-02 20:00:00,-84,1.1078787866000002,-0.17,0.9378787866000001,4227.5
2019-01-02 21:00:00,-83,1.1313131326,-0.16420739046914168,0.9671057421308584,4192.5
2019-01-02 22:00:00,-82,1.1740067342,-0.14722431864335425,1.0267824155566458,4157.5
2019-01-02 23:00:00,-81,1.207003368,-0.12020815280171289,1.0867952151982871,4120.0
2019-01-03 00:00:00,-80,1.2483501696,-0.08500000000000006,1.1633501696,4077.5
2019-01-03 01:00:00,-79,1.2668686878000002,-0.04399923766742835,1.2228694501325719,4032.5
2019-01-03 02:00:00,-78,1.2715151504000002,4.3730413400382514e-16,1.2715151504000006,3985.0
2019-01-03 03:00:00,-77,1.3007407415999999,0.043999237667428616,1.3447399792674284,3940.0
2019-01-03 04:00:00,-76,1.3331986528,0.08500000000000028,1.4181986528000001,3895.0
2019-01-03 05:00:00,-75,1.2969023564000002,0.12020815280171308,1.4171105092017133,3850.0
2019-01-03 06:00:00,-74,1.3104377094,0.1472243186433547,1.4576620280433545,3805.0
2019-01-03 07:00:00,-73,1.402491583,0.16420739046914173,1.5666989734691417,3765.0
2019-01-03 08:00:00,-72,1.4270707064,0.17,1.5970707064,3730.0
2019-01-03 09:00:00,-71,1.4348148142000001,0.16420739046914168,1.5990222046691418,3717.5
2019-01-03 10:00:00,-70,1.4968350166000002,0.14722431864335458,1.6440593352433548,3715.0
2019-01-03 11:00:00,-69,1.4570370376,0.12020815280171289,1.5772451904017128,3725.0
2019-01-03 12:00:00,-68,1.4660606054,0.08500000000000008,1.5510606054,3742.5
2019-01-03 13:00:00,-67,1.5082154870000002,0.043999237667428366,1.5522147246674285,3772.5
2019-01-03 14:00:00,-66,1.4699663306,1.8747618697776507e-16,1.4699663306000001,3800.0
2019-01-03 15:00:00,-65,1.5147474748,-0.043999237667428595,1.4707482371325715,3832.5
2019-01-03 16:00:00,-64,1.546127946,-0.08500000000000027,1.4611279459999997,3875.0
2019-01-03 17:00:00,-63,1.5127272722,-0.12020815280171306,1.3925191193982869,3922.5
2019-01-03 18:00:00,-62,1.5777104372,-0.1472243186433547,1.4304861185566453,3975.0
2019-01-03 19:00:00,-61,1.6041077432,-0.16420739046914165,1.4399003527308583,4045.0
2019-01-03 20:00:00,-60,1.6088888883999999,-0.17,1.4388888884,4137.5
2019-01-03 21:00:00,-59,1.6039730632,-0.1642073904691416,1.4397656727308583,4260.0
2019-01-03 22:00:00,-58,1.6692929282,-0.14722431864335458,1.5220686095566454,4425.0
2019-01-03 23:00:00,-57,1.7166329976000003,-0.1202081528017129,1.5964248447982874,4650.0
2019-01-04 00:00:00,-56,1.7454545462000002,-0.08499999999999984,1.6604545462000004,5017.5
2019-01-04 01:00:00,-55,1.792794613,-0.04399923766742868,1.7487953753325713,5497.5
2019-01-04 02:00:00,-54,1.8653198657999999,9.368548013477253e-17,1.8653198657999999,5970.0
2019-01-04 03:00:00,-53,1.9135353526,0.043999237667428574,1.9575345902674286,6447.5
2019-01-04 04:00:00,-52,2.0519865330000004,0.08499999999999999,2.1369865330000004,6902.5
2019-01-04 05:00:00,-51,1.9568350168000002,0.12020815280171326,2.0770431696017133,7317.5
2019-01-04 06:00:00,-50,2.0283501696000004,0.14722431864335453,2.1755744882433548,7710.0
2019-01-04 07:00:00,-49,2.1505723918000004,0.16420739046914165,2.314779782269142,8075.0
2019-01-04 08:00:00,-48,2.0934680146000004,0.17,2.2634680146000004,8410.0
2019-01-04 09:00:00,-47,2.3167676756000004,0.1642073904691416,2.480975066069142,8750.0
2019-01-04 10:00:00,-46,2.1789225578000004,0.14722431864335445,2.326146876443355,9080.0
2019-01-04 11:00:00,-45,2.1280808084000005,0.12020815280171314,2.2482889612017134,9410.0
2019-01-04 12:00:00,-44,2.2891582496000003,0.08499999999999985,2.3741582496,9762.5
2019-01-04 13:00:00,-43,2.0867340068000004,0.043999237667428415,2.1307332444674287,10065.0
2019-01-04 14:00:00,-42,2.1447811440000004,-7.286648454926751e-17,2.1447811440000004,10375.0
2019-01-04 15:00:00,-41,2.0659259260000002,-0.04399923766742884,2.0219266883325715,10750.0
2019-01-04 16:00:00,-40,2.1383164988,-0.08499999999999998,2.0533164988,11150.0
2019-01-04 17:00:00,-39,2.131447811,-0.12020815280171325,2.0112396581982868,11475.0
2019-01-04 18:00:00,-38,2.1281481484,-0.14722431864335467,1.9809238297566456,11900.0
2019-01-04 19:00:00,-37,2.1035016824,-0.16420739046914165,1.9392942919308584,12300.0
2019-01-04 20:00:00,-36,2.1124579128000005,-0.17,1.9424579128000006,12725.0
2019-01-04 21:00:00,-35,2.0763636364000004,-0.16420739046914162,1.9121562459308588,13150.0
2019-01-04 22:00:00,-34,2.1673400674,-0.1472243186433546,2.0201157487566457,13650.0
2019-01-04 23:00:00,-33,2.1917171708,-0.12020815280171315,2.071509017998287,14150.0
2019-01-05 00:00:00,-32,2.1406060614,-0.08499999999999987,2.0556060614000002,14600.0
2019-01-05 01:00:00,-31,2.273804714,-0.043999237667428436,2.229805476332572,14975.0
2019-01-05 02:00:00,-30,2.1941414134,2.030378203127838e-16,2.1941414134,15500.0
2019-01-05 03:00:00,-29,2.1940067334,0.043999237667428526,2.2380059710674285,15975.0
2019-01-05 04:00:00,-28,2.2272053872,0.08500000000000008,2.3122053872,16425.0
2019-01-05 05:00:00,-27,2.1107744102000003,0.12020815280171311,2.2309825630017133,16975.0
2019-01-05 06:00:00,-26,2.027542087,0.14722431864335458,2.1747664056433544,17475.0
2019-01-05 07:00:00,-25,2.0327272722000003,0.1642073904691416,2.196934662669142,17950.0
2019-01-05 08:00:00,-24,2.0760269364000004,0.17,2.2460269364000003,18425.0
2019-01-05 09:00:00,-23,2.1404713814000003,0.1642073904691416,2.304678771869142,18925.0
2019-01-05 10:00:00,-22,2.0049158262000004,0.14722431864335453,2.152140144843355,19350.0
2019-01-05 11:00:00,-21,2.0040404036,0.12020815280171306,2.124248556401713,19800.0
2019-01-05 12:00:00,-20,1.9971717184,0.08500000000000002,2.0821717184,20250.0
2019-01-05 13:00:00,-19,1.924040403,0.043999237667428456,1.9680396406674285,20675.0
2019-01-05 14:00:00,-18,1.9946801358000001,-3.1228493378257505e-17,1.9946801358000001,21025.0
2019-01-05 15:00:00,-17,1.7861279451999998,-0.04399923766742851,1.7421287075325713,21400.0
2019-01-05 16:00:00,-16,1.7241077453999998,-0.08500000000000008,1.6391077453999996,21650.0
2019-01-05 17:00:00,-15,1.7262626253999998,-0.12020815280171315,1.6060544725982866,21950.0
2019-01-05 18:00:00,-14,1.6584511778000002,-0.1472243186433546,1.5112268591566456,22100.0
2019-01-05 19:00:00,-13,1.6811447812000002,-0.16420739046914162,1.5169373907308585,22275.0
2019-01-05 20:00:00,-12,1.6379124569999999,-0.17,1.467912457,22375.0
2019-01-05 21:00:00,-11,1.6426936022,-0.1642073904691416,1.4784862117308584,22425.0
2019-01-05 22:00:00,-10,1.5445791234000001,-0.14722431864335458,1.3973548047566455,22475.0
2019-01-05 23:00:00,-9,1.4602020202000001,-0.12020815280171308,1.339993867398287,22500.0
2019-01-06 00:00:00,-8,1.5063973069999999,-0.08499999999999996,1.4213973069999999,22500.0
2019-01-06 01:00:00,-7,1.4808080810000002,-0.04399923766742851,1.4368088433325716,22475.0
2019-01-06 02:00:00,-6,1.428350169,1.0409497792752502e-17,1.428350169,22400.0
2019-01-06 03:00:00,-5,1.4315151516,0.043999237667428526,1.4755143892674285,22325.0
2019-01-06 04:00:00,-4,1.3349494954,0.08500000000000002,1.4199494954,22250.0
2019-01-06 05:00:00,-3,1.3218181824,0.1202081528017131,1.442026335201713,22125.0
2019-01-06 06:00:00,-2,1.3578451188,0.14722431864335458,1.5050694374433546,21950.0
2019-01-06 07:00:00,-1,1.2701010104000001,0.16420739046914162,1.4343084008691418,21800.0
2019-01-06 08:00:00,0,1.2358922566,0.17,1.4058922565999998,21650.0
2019-01-06 09:00:00,1,1.2743434355999999,0.16420739046914162,1.4385508260691415,21425.0
2019-01-06 10:00:00,2,1.220269361,0.14722431864335458,1.3674936796433546,21225.0
2019-01-06 11:00:00,3,1.2039057228,0.1202081528017131,1.3241138756017132,20975.0
2019-01-06 12:00:00,4,1.1542760934,0.08500000000000002,1.2392760934,20750.0
2019-01-06 13:00:00,5,1.143905723,0.043999237667428526,1.1879049606674286,20450.0
2019-01-06 14:00:00,6,1.12929293,1.0409497792752502e-17,1.12929293,20150.0
2019-01-06 15:00:00,7,1.0815488206000001,-0.04399923766742851,1.0375495829325716,19850.0
2019-01-06 16:00:00,8,1.0931986536,-0.08499999999999996,1.0081986536,19550.0
2019-01-06 17:00:00,9,1.0686195276,-0.12020815280171308,0.9484113747982869,19175.0
2019-01-06 18:00:00,10,1.0189898982,-0.14722431864335458,0.8717655795566455,18800.0
2019-01-06 19:00:00,11,0.9068686864,-0.1642073904691416,0.7426612959308584,18450.0
2019-01-06 20:00:00,12,0.8364983161999999,-0.17,0.6664983161999999,18025.0
2019-01-06 21:00:00,13,0.791178452,-0.16420739046914162,0.6269710615308584,17625.0
2019-01-06 22:00:00,14,0.779393939,-0.1472243186433546,0.6321696203566454,17250.0
2019-01-06 23:00:00,15,0.7299663296000001,-0.12020815280171315,0.6097581767982869,16825.0
2019-01-07 00:00:00,16,0.7111111113999999,-0.08500000000000008,0.6261111113999999,16450.0
2019-01-07 01:00:00,17,0.6861952854000002,-0.04399923766742851,0.6421960477325717,16075.0
2019-01-07 02:00:00,18,0.6512457916000001,-3.1228493378257505e-17,0.6512457916000001,15700.0
2019-01-07 03:00:00,19,0.6641077445999999,0.043999237667428456,0.7081069822674283,15250.0
2019-01-07 04:00:00,20,0.5729292936000001,0.08500000000000002,0.6579292936000001,14875.0
2019-01-07 05:00:00,21,0.5288215494000001,0.12020815280171306,0.6490297022017132,14500.0
2019-01-07 06:00:00,22,0.5399326598,0.14722431864335453,0.6871569784433545,14125.0
2019-01-07 07:00:00,23,0.4995286208,0.1642073904691416,0.6637360112691416,13775.0
2019-01-07 08:00:00,24,0.5544781154,0.17,0.7244781154000001,13400.0
2019-01-07 09:00:00,25,0.5740067336000001,0.1642073904691416,0.7382141240691417,13000.0
2019-01-07 10:00:00,26,0.5244444442,0.14722431864335458,0.6716687628433546,12675.0
2019-01-07 11:00:00,27,0.4524579114000001,0.12020815280171311,0.5726660642017132,12375.0
2019-01-07 12:00:00,28,0.49111111039999994,0.08500000000000008,0.5761111104000001,12100.0
2019-01-07 13:00:00,29,0.49784511819999994,0.043999237667428526,0.5418443558674284,11775.0
2019-01-07 14:00:00,30,0.4523905714,2.030378203127838e-16,0.4523905714000002,11525.0
2019-01-07 15:00:00,31,0.46188552180000003,-0.043999237667428436,0.4178862841325716,11200.0
2019-01-07 16:00:00,32,0.48457912520000007,-0.08499999999999987,0.3995791252000002,10925.0
2019-01-07 17:00:00,33,0.4736026948000001,-0.12020815280171315,0.35339454199828696,10650.0
2019-01-07 18:00:00,34,0.4850505052000001,-0.1472243186433546,0.3378261865566455,10300.0
2019-01-07 19:00:00,35,0.4373737384000001,-0.16420739046914162,0.2731663479308585,10100.0
2019-01-07 20:00:00,36,0.3443771048000001,-0.17,0.1743771048000001,9820.0
2019-01-07 21:00:00,37,0.3350168344,-0.16420739046914165,0.17080944393085837,9540.0
2019-01-07 22:00:00,38,0.3484848474,-0.14722431864335467,0.20126052875664535,9252.5
2019-01-07 23:00:00,39,0.36882154820000007,-0.12020815280171325,0.2486133953982868,8982.5
2019-01-08 00:00:00,40,0.3938047142000001,-0.08499999999999998,0.30880471420000016,8715.0
2019-01-08 01:00:00,41,0.3540067352,-0.04399923766742884,0.3100074975325711,8435.0
2019-01-08 02:00:00,42,0.3609427604,-7.286648454926751e-17,0.36094276039999995,8170.0
2019-01-08 03:00:00,43,0.3679461282000001,0.043999237667428415,0.4119453658674285,7895.0
2019-01-08 04:00:00,44,0.3162289562000001,0.08499999999999985,0.40122895619999993,7630.0
2019-01-08 05:00:00,45,0.3685521882000001,0.12020815280171314,0.4887603410017132,7357.5
2019-01-08 06:00:00,46,0.3633670030000001,0.14722431864335445,0.5105913216433545,7097.5
2019-01-08 07:00:00,47,0.34033669959999996,0.1642073904691416,0.5045440900691416,6850.0
2019-01-08 08:00:00,48,0.3782491586,0.17,0.5482491586,6592.5
2019-01-08 09:00:00,49,0.40121212199999995,0.16420739046914165,0.5654195124691416,6357.5
2019-01-08 10:00:00,50,0.38228956119999996,0.14722431864335453,0.5295138798433545,6120.0
2019-01-08 11:00:00,51,0.3783838386000001,0.12020815280171326,0.49859199140171334,5902.5
2019-01-08 12:00:00,52,0.36882154820000007,0.08499999999999999,0.4538215482000001,5707.5
2019-01-08 13:00:00,53,0.33804713700000005,0.043999237667428574,0.38204637466742863,5517.5
